9h00 - 9h30,Registration,
9h30 - 9h40,Introduction ,Laerte Sodre
9h40 - 10h00,Intermediate-Mass Black Hole Feedback in Dwarf Galaxiesh a View from Cosmological Simulations,Paramita Barai
10h00 - 10h20,MUSE kinematics of the cD galaxy NGC 3311 in the Hydra I cluster,Carlos Eduardo Barbosa
10h20 - 10h40,The filamentary structure of the central galaxy of RXC J1504-0428,Laerte Sodre
10h40 - 11h00 ,Coffee-break,
11h00 - 11h20,Baryon Acoustic Oscillation in the Dark Energy Survey,Rogerio Rosenfeld
11h20 - 11h40,Measurement of the Baryon Acoustic Oscillation scale at z=1 with Dark Energy Survey Year 1 data,Hugo Camacho
11h40 - 12h00,Clumps contamination and luminosity changesh aftermaths of the intracluster--interstellar interaction,Rafael Ruggiero
12h00 - 12h30,Poster Session,
12h30 - 14h00,Lunch,
14h00 - 14h20,The origin of metals found in the X-ray gas of the Fornax cluster,Hugo Vicente Capelato
14h20 - 14h40 ,Dark Matter properties in Galaxy Clusters through Gravitational Lensing,Eduardo Serra Cypriano
14h40 - 15h00,How Does the Gaussianity of the Velocity Distribution of Groups and Clusters Relate to the Galaxian Properties?,Reinaldo Ramos de Carvalho
15h00 - 15h20,Coffee-break,
15h20 - 15h40,Accurate Photometric Redshifts in Clusters of Galaxies,Alberto Molino
15h40 - 16h00,The halo-galaxy connection in the Large-Scale Structure of the Universe,Antonio D. Montero Dorta
16h00 - 16h20 ,The galaxy environment in the KiDS survey,Marcus Vinicius Duarte
16h20 - 16h30 ,Open discussion,
